new_la_code,la_name,region_name,fairness_combined,Local authority,positive_proportion,inspection_norm,gender_equity_index_refined,fairness_combined_norm,inspection_norm_norm,index_compute_log,equity_index
E08000034,Kirklees,Yorkshire and The Humber,0.467010337496944,Kirklees,0.8145695364238411,0.5120250958522135,0.4827655029212883,0.467010337496944,0.5120250958522135,3,49.702017640045696
E08000035,Leeds,Yorkshire and The Humber,0.4243261612601294,Leeds,0.8127490039840638,0.5072342210106943,0.4533439821728271,0.4243261612601294,0.5072342210106943,3,47.95982010938393
E08000036,Wakefield,Yorkshire and The Humber,0.4005907754089639,Wakefield,0.7723577235772358,0.4009413778348309,0.4007134862580174,0.4005907754089639,0.4009413778348309,3,40.082451035954186
E08000037,Gateshead,North East,0.4963242438341456,Gateshead,0.8028169014084507,0.4810971089696072,0.4909947466315572,0.4963242438341456,0.4810971089696072,3,48.617282059112
E09000002,Barking and Dagenham,Outer London,0.201203635254906,Barking and Dagenham,0.9107142857142856,0.7650375939849624,0.3985455208104257,0.201203635254906,0.7650375939849624,3,57.70929410749436
E09000003,Barnet,Outer London,0.7614697359926631,Barnet,0.935483870967742,0.8302207130730049,0.7855325779707827,0.7614697359926631,0.8302207130730049,3,80.7303720712891
E09000004,Bexley,Outer London,0.7066604234901231,Bexley,0.835820895522388,0.5679497250589158,0.6581116790392006,0.7066604234901231,0.5679497250589158,3,61.41866245359849
E09000005,Brent,Outer London,0.5767901583393809,Brent,0.8780487804878049,0.6790757381258024,0.6125901112646284,0.5767901583393809,0.6790757381258024,3,64.49805448636619
E09000006,Bromley,Outer London,0.4866860044824763,Bromley,0.8620689655172413,0.6370235934664246,0.5393041606268582,0.4866860044824763,0.6370235934664246,3,58.691106380510845
E09000007,Camden,Inner London,0.2406245355655604,Camden,0.8947368421052632,0.7229916897506925,0.4094530395303566,0.2406245355655604,0.7229916897506925,3,56.22026383556484
E09000008,Croydon,Outer London,0.4216661203055278,Croydon,0.8070175438596491,0.4921514312096028,0.4463359791219541,0.4216661203055278,0.4921514312096028,3,46.86563275749111
E09000009,Ealing,Outer London,0.5846546649014001,Ealing,0.9032258064516128,0.7453310696095076,0.6408914065492377,0.5846546649014001,0.7453310696095076,3,69.17722680401384
E09000010,Enfield,Outer London,0.3119157151423691,Enfield,0.813953488372093,0.5104039167686658,0.3813865857115729,0.3119157151423691,0.5104039167686658,3,44.42411828932335
E09000011,Greenwich,Outer London,0.5388676036367805,Greenwich,0.8354430379746836,0.5669553630912725,0.5486983194458527,0.5388676036367805,0.5669553630912725,3,55.75927766064418
E09000012,Hackney,Inner London,0.4388858195961985,Hackney,0.8783783783783784,0.6799431009957326,0.5232558680860355,0.4388858195961985,0.6799431009957326,3,59.95906738625546
E09000013,Hammersmith and Fulham,Inner London,0.780691437775267,Hammersmith and Fulham,0.8867924528301887,0.7020854021847072,0.753179325318571,0.780691437775267,0.7020854021847072,3,72.82874140482271
E09000014,Haringey,Inner London,0.4212128104308838,Haringey,0.8809523809523809,0.6867167919799498,0.5141392039730569,0.4212128104308838,0.6867167919799498,3,59.82154647969278
E09000015,Harrow,Outer London,0.287400581282121,Harrow,0.8,0.4736842105263159,0.3525998515175892,0.287400581282121,0.4736842105263159,3,41.15896674449176
E09000016,Havering,Outer London,0.5656248433064098,Havering,0.8571428571428571,0.6240601503759398,0.5860772007807453,0.5656248433064098,0.6240601503759398,3,60.45817146860964
E09000017,Hillingdon,Outer London,0.7548038230440318,Hillingdon,0.8041237113402062,0.4845360824742269,0.6602101138446002,0.7548038230440318,0.4845360824742269,3,57.462532933082855
E09000018,Hounslow,Outer London,0.7430671066112248,Hounslow,0.8266666666666667,0.543859649122807,0.6733444964902786,0.7430671066112248,0.543859649122807,3,61.026213495227964
E09000019,Islington,Inner London,0.8069320770254744,Islington,0.8888888888888888,0.7076023391812865,0.7721666687800086,0.8069320770254744,0.7076023391812865,3,74.07122517960157
E09000020,Kensington and Chelsea,Inner London,0.8630211076827284,Kensington and Chelsea,0.8611111111111112,0.6345029239766083,0.7830397433855864,0.8630211076827284,0.6345029239766083,3,71.06756518786484
E09000021,Kingston upon Thames,Outer London,0.59280599896093,Kingston upon Thames,0.8723404255319149,0.6640537513997762,0.6177427123145262,0.59280599896093,0.6640537513997762,3,64.03045005868275
E09000022,Lambeth,Inner London,0.5290010276419573,Lambeth,0.8048780487804879,0.4865211810012838,0.5141330813177216,0.5290010276419573,0.4865211810012838,3,50.06811298815082
E09000023,Lewisham,Inner London,0.5432417867981535,Lewisham,0.868421052631579,0.6537396121883657,0.5819160256847278,0.5432417867981535,0.6537396121883657,3,61.69070037249617
E09000024,Merton,Outer London,0.7566733917927859,Merton,0.8113207547169812,0.5034756703078452,0.6680541892730567,0.7566733917927859,0.5034756703078452,3,58.787491080282535
E09000025,Newham,Inner London,0.4186523570495052,Newham,0.8494623655913979,0.6038483305036786,0.4834709477584659,0.4186523570495052,0.6038483305036786,3,54.21163393522874
E09000026,Redbridge,Outer London,0.6459529479813286,Redbridge,0.7972972972972973,0.4665718349928875,0.5831695584353742,0.6459529479813286,0.4665718349928875,3,52.636553932236794
E09000027,Richmond upon Thames,Outer London,0.5369269485788346,Richmond upon Thames,0.8363636363636363,0.5693779904306219,0.5482848132269601,0.5369269485788346,0.5693779904306219,3,55.85609764800261
E09000028,Southwark,Inner London,0.7064426987359669,Southwark,0.8617021276595744,0.6360582306830906,0.6818081349174602,0.7064426987359669,0.6360582306830906,3,65.95197200340493
E09000029,Sutton,Outer London,0.7570913875596996,Sutton,0.7818181818181819,0.4258373205741628,0.6411524641147617,0.7570913875596996,0.4258373205741628,3,53.62553429026751
E09000030,Tower Hamlets,Inner London,0.4301389539216961,Tower Hamlets,0.891566265060241,0.7146480659480025,0.5297171431309033,0.4301389539216961,0.7146480659480025,3,61.9811695272567
E09000031,Waltham Forest,Outer London,0.3369752615362797,Waltham Forest,0.881578947368421,0.688365650969529,0.4599618978379169,0.3369752615362797,0.688365650969529,3,57.12355211584459
E09000032,Wandsworth,Inner London,0.6052451692160012,Wandsworth,0.8589743589743589,0.6288798920377866,0.6135173222036261,0.6052451692160012,0.6288798920377866,3,62.10016510971915
E09000033,Westminster,Inner London,0.3287343476503115,Westminster,0.8518518518518519,0.6101364522417154,0.4272250842573029,0.3287343476503115,0.6101364522417154,3,51.633575071124746
E10000003,Cambridgeshire,East of England,0.5758517535738016,Cambridgeshire,0.7777777777777778,0.4152046783625731,0.5196252772498716,0.5758517535738016,0.4152046783625731,3,46.87537034329826
E10000007,Derbyshire,East Midlands,0.6124215953571271,Derbyshire,0.7648725212464589,0.3812434769643655,0.5315092539196606,0.6124215953571271,0.3812434769643655,3,45.83028497619527
E10000008,Devon,South West,0.5802482453458246,Devon,0.7208480565371025,0.2653896224660592,0.4700477273379067,0.5802482453458246,0.2653896224660592,3,37.034249675931434
E10000011,East Sussex,South East,0.6177909679089524,East Sussex,0.7453416149068323,0.3298463550179796,0.517010353397112,0.6177909679089524,0.3298463550179796,3,42.58278926483038
E10000012,Essex,East of England,0.5953192104366261,Essex,0.8145833333333333,0.5120614035087719,0.5661789780118771,0.5953192104366261,0.5120614035087719,3,53.98140058180566
E10000013,Gloucestershire,South West,0.3722001988531531,Gloucestershire,0.7730769230769231,0.4028340080971661,0.3829220320885577,0.3722001988531531,0.4028340080971661,3,39.26227383491618
E10000014,Hampshire,South East,0.5667266448478672,Hampshire,0.79296875,0.4551809210526316,0.5276856415195348,0.5667266448478672,0.4551809210526316,3,49.236282898437686
E10000015,Hertfordshire,East of England,0.4925121376047225,Hertfordshire,0.8112033195020747,0.5031666302686176,0.4962412100370858,0.4925121376047225,0.5031666302686176,3,49.961513271398594
